id,name,description,volunteer_functions,phone,address,latitude,longitude,logo,website,vk_link,telegram_link,other_social,created_at,updated_at,is_approved,is_active,city_id,owner_id,has_pending_changes
11,АНО Центр досуга и развития детей,"Проведение мероприятий, мастер-классов, развлекательных и развивающих программ для детей и подростков. г.Зеленогорск Красноярский край
Наша миссия: помочь Ребёнку сегодня приобрести те необходимые личностные качества и навыки, которые сделают его Успешным Взрослым завтра!

✅ Проводим мероприятия, праздники, квесты для детей и подростков;
✅ Организуем различные мастер-классы (приглашаем педагогов, мастеров и просто творческих людей для сотрудничества);
✅ Оказываем услуги по организации и проведению игровых программ, лекций, практикумов, погружений в предмет и прочих развивающих мероприятий.","Проведение мероприятий, мастер-классов, развлекательных и развивающих программ для детей и подростков. г.Зеленогорск Красноярский край
Наша миссия: помочь Ребёнку сегодня приобрести те необходимые личностные качества и навыки, которые сделают его Успешным Взрослым завтра!

✅ Проводим мероприятия, праздники, квесты для детей и подростков;
✅ Организуем различные мастер-классы (приглашаем педагогов, мастеров и просто творческих людей для сотрудничества);
✅ Оказываем услуги по организации и проведению игровых программ, лекций, практикумов, погружений в предмет и прочих развивающих мероприятий.",+7 (902) 917-76-95,"Мира дом 16Б, Зеленогорск",56.111057,94.591656,,https://цдрд.рф/,https://vk.com/anocdrdzelenogorsk?from=groups,,,2025-11-15 08:40:11.698988,2025-11-16 06:06:59.988129,1,1,5,12,0
12,"Автономная некоммерческая организация ""Клуб компьютерного спорта и фиджитал-спорта ""Кибер-атом""","ОКВЭД 93.12 - Деятельность спортивных клубов. А если по факту, то занимаюсь развитием компьютерного спорта и фиджитал-спорта в нашем городе, проведением мероприятий, турниров и просветительской работой в этой области

Целевая аудитория: подростки 12-17 лет, а также их родители. С первыми ведем непосредственную работу по развитию их навыков в киберспорте и фиджитале, а со вторыми веду просветительскую работу и просто рассказываю, что киберспорт это не бесконтрольный гейминг и не игромания, а такое же спортивное направление, как футбол, шахматы и так далее, он также развивает определенные навыки, и дети там также получают определенные знания и необходимую для них в наше время социализацию.","ОКВЭД 93.12 - Деятельность спортивных клубов. А если по факту, то занимаюсь развитием компьютерного спорта и фиджитал-спорта в нашем городе, проведением мероприятий, турниров и просветительской работой в этой области

Целевая аудитория: подростки 12-17 лет, а также их родители. С первыми ведем непосредственную работу по развитию их навыков в киберспорте и фиджитале, а со вторыми веду просветительскую работу и просто рассказываю, что киберспорт это не бесконтрольный гейминг и не игромания, а такое же спортивное направление, как футбол, шахматы и так далее, он также развивает определенные навыки, и дети там также получают определенные знания и необходимую для них в наше время социализацию.",+7 (913) 594-36-25,,NULL,NULL,,,https://vk.com/cyberatom_zlk24,https://t.me/cyberatom_zlk24,https://discord.gg/sK7bDWGXbp,2025-11-15 08:47:44.983892,2025-11-15 09:19:26.188149,1,1,5,13,0
13,БФ «Планета кошек»,"Благотворительный Фонд ""Планета Кошек"" — это проект помощи бездомным животным в Нижнем Новгороде!

Благотворительный Фонд ""Планета Кошек"" входит в состав многофункционального Центра помощи и реабилитации животных. Деятельность Фонда направлена на спасение животных, оказавшихся в сложных жизненных ситуация, брошенных на улице, нуждающихся в ветеринарной помощи!","Благотворительный Фонд ""Планета Кошек"" — это проект помощи бездомным животным в Нижнем Новгороде!

Благотворительный Фонд ""Планета Кошек"" входит в состав многофункционального Центра помощи и реабилитации животных. Деятельность Фонда направлена на спасение животных, оказавшихся в сложных жизненных ситуация, брошенных на улице, нуждающихся в ветеринарной помощи!",+7 (915) 950-71-11,"Дальняя ул., 8, Нижний Новгород",56.313605,43.975423,,https://planetakoshek52.ru/,https://vk.com/planetakosheknn,https://t.me/planetakosheknn,,2025-11-15 08:51:33.708103,2025-11-16 06:28:53.289407,1,1,6,14,0
14,"АНО ДПО ""Техническая академия Росатома""",На данный момент НКО нет. Находится на стадии формирования концепции и формализации идеи.,На данный момент НКО нет. Находится на стадии формирования концепции и формализации идеи.,+7 (495) 626-24-74,"улица Курчатова, 21, Обнинск",55.104448,36.618296,,http://rosatomtech.ru,https://vk.com/rosatomtech,,,2025-11-15 08:55:05.075333,2025-11-16 06:29:23.862337,1,1,7,16,0
15,АНО СЦСА НАШИ ДЕТИ,"Основная деятельность:
Помощь семьям воспитывающих детей с инвалидностью. Обучение неговорящих детей общаться при помощи альтернативной коммуникации. Открываем новое направление ранняя помощь детям до 3х лет, имеющим трудности в развитии.

Целевая аудитория:
Семьи воспитывающие детей до 3х лет, имеющие трудности в развитии, проживающие в Омском регионе.
Семьи воспитывающие неговорящих детей, нуждающихся в альтернативных способах общения, проживающие в городе Омске.","Основная деятельность:
Помощь семьям воспитывающих детей с инвалидностью. Обучение неговорящих детей общаться при помощи альтернативной коммуникации. Открываем новое направление ранняя помощь детям до 3х лет, имеющим трудности в развитии.

Целевая аудитория:
Семьи воспитывающие детей до 3х лет, имеющие трудности в развитии, проживающие в Омском регионе.
Семьи воспитывающие неговорящих детей, нуждающихся в альтернативных способах общения, проживающие в городе Омске.",+7 (950) 214-98-98,"1 Поселковая, 3А, Омск",54.94105,73.319656,,http://na-deti.ru,https://vk.com/ndetiomsk,,,2025-11-15 08:57:48.074784,2025-11-16 05:02:20.777151,1,1,8,17,0
16,"ТРОО ""ВПЦ"" МИРНЫЙ ВОИН""","АО ""Сибирский химический комбинат"", предприятие Топливной компании Росатома ""ТВЭЛ""","АО ""Сибирский химический комбинат"", предприятие Топливной компании Росатома ""ТВЭЛ""",+7 (382) 354-83-47,ул. Курчатова 1 Северск,56.589661,84.902077,,http://atomsib.ru/,,,https://ok.ru/profile/566417452251/statuses/156787104735451,2025-11-15 09:04:17.250755,2025-11-16 06:30:23.373238,1,1,9,18,0
17,СГОО БУМЕРАНГ ДОБРА,"Снежинская городская общественная организация помощи людям, находящимся в трудной жизненной ситуации, людям с ограниченными возможностями здоровья и инвалидам, а также членам их семей «Бумеранг добра» осуществляет свою деятельность на территории города Снежинска с 2014 года.

Несмотря на серьёзные диагнозы собственных детей, нехватку денег и времени, семьи воспитывающие детей-инвалидов нашли в себе мужество и силы, объединились и создали в закрытом городе Снежинск, сначала общественную организацию, а в марте 2015 года - открыли Центр комплексной реабилитации и социализации детей с ограниченными возможностями здоровья и ребят с инвалидностью.","Снежинская городская общественная организация помощи людям, находящимся в трудной жизненной ситуации, людям с ограниченными возможностями здоровья и инвалидам, а также членам их семей «Бумеранг добра» осуществляет свою деятельность на территории города Снежинска с 2014 года.

Несмотря на серьёзные диагнозы собственных детей, нехватку денег и времени, семьи воспитывающие детей-инвалидов нашли в себе мужество и силы, объединились и создали в закрытом городе Снежинск, сначала общественную организацию, а в марте 2015 года - открыли Центр комплексной реабилитации и социализации детей с ограниченными возможностями здоровья и ребят с инвалидностью.",+7 (900) 077-39-61,"Комсомольская ул., 4, Снежинск",56.080152,60.748289,,https://bumerang-dobra.org/,https://vk.com/bdsnz,,,2025-11-15 09:06:04.596537,2025-11-16 06:32:11.176954,1,1,10,19,0
18,ДоброЦентр при СО НКО Бумеранг добра,"Краткое описание нашей деятельности📜

📌Цель:
- Качественное долголетие «серебряных» волонтеров через социально значимую деятельность.

📌Задачи:
- Оказание реальной помощи людям, оказавшимся в трудной жизненной ситуации.

- Предоставление горожанам (снежинцам) возможности развивать добровольческую активность.

- Участие (и/ или организация) в акциях, формах, круглых столах и иной общественной деятельности на разных уровнях (местных, региональных, всероссийских).","Краткое описание нашей деятельности📜

📌Цель:
- Качественное долголетие «серебряных» волонтеров через социально значимую деятельность.

📌Задачи:
- Оказание реальной помощи людям, оказавшимся в трудной жизненной ситуации.

- Предоставление горожанам (снежинцам) возможности развивать добровольческую активность.

- Участие (и/ или организация) в акциях, формах, круглых столах и иной общественной деятельности на разных уровнях (местных, региональных, всероссийских).",,"улица Свердлова, 46, Снежинск",56.078056,60.745556,,,https://vk.com/snzzhensovet,,,2025-11-15 09:09:36.119569,2025-11-16 06:32:37.938761,1,1,10,20,0
19,"Снежинская городская общественная организация ""Союз женщин Снежинска""","Поддержка семей с детьми: многодетных, приемных семей, семей в городских общежитиях через Семейный клуб, развитие социального предпринимательства. Содействие повышению качества жизни старшего поколения через Клуб общения старшего поколения.
Поддержка общественного движения по сохранению и развитию национальных культур в Снежинске.
Защита прав женщин.

Целевая аудитория:
Женщины, семьи с детьми, пенсионеры","Поддержка семей с детьми: многодетных, приемных семей, семей в городских общежитиях через Семейный клуб, развитие социального предпринимательства. Содействие повышению качества жизни старшего поколения через Клуб общения старшего поколения.
Поддержка общественного движения по сохранению и развитию национальных культур в Снежинске.
Защита прав женщин.

Целевая аудитория:
Женщины, семьи с детьми, пенсионеры",+7 (951) 447-71-01,,NULL,NULL,,https://women-snz.ru/,https://vk.com/sovetgensnz?from=groups,,,2025-11-15 09:12:09.591180,2025-11-15 09:12:09.591189,1,1,10,21,0
20,БФМС Новое Усолье,"Активизация/развитие местного сообщества для улучшения жизни в городе

Целевая аудитория:
Неравнодушные жители, женщины 40+, семьи с детьми","Активизация/развитие местного сообщества для улучшения жизни в городе

Целевая аудитория:
Неравнодушные жители, женщины 40+, семьи с детьми",,,NULL,NULL,,,https://vk.com/club166583301,,,2025-11-15 09:14:06.779139,2025-11-15 09:14:06.779147,1,1,11,22,0
21,УГМО ИОРОООО ВОИ,"Организация работает по поддержке людей с инвалидностью и развитию адаптивной физической культуры и спорта в городе. Группа изучает более 25 человек различных нозологических групп.

Целевая аудитория:
Люди с инвалидностью всех возрастов","Организация работает по поддержке людей с инвалидностью и развитию адаптивной физической культуры и спорта в городе. Группа изучает более 25 человек различных нозологических групп.

Целевая аудитория:
Люди с инвалидностью всех возрастов",,,NULL,NULL,,,,,,2025-11-15 09:15:54.994875,2025-11-15 09:15:54.994885,1,1,11,23,0
22,АНО «Твердыми шагами»,"Автономная некоммерческая организация помощи детям с ограниченными возможностями здоровья, инвалидностью и их семьям.","Автономная некоммерческая организация помощи детям с ограниченными возможностями здоровья, инвалидностью и их семьям.",,"проспект Ленина 37, 2 подъезд",55.766957,60.695319,,,https://vk.com/club207076122,,,2025-11-15 09:18:16.621162,2025-11-16 06:34:55.300594,1,1,12,24,0
